Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
ADT,ADT Inc,Common Stock,6.89,$5.13B,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services,NYSE
WH,Wyndham Hotels & Resorts Inc,Common Stock,75.72,$5.73B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NYSE
PDD,PDD Holdings Inc,Depository Receipt,84.83,$122.48B,Consumer Discretionary,Broadline Retail,Broadline Retail,NASDAQ
FTDR,Frontdoor Inc,Common Stock,73.22,$5.26B,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services,NASDAQ
GTX,Garrett Motion Inc,Common Stock,32.36,$5.87B,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,NASDAQ
CHWY,Chewy Inc,Common Stock,21.51,$9.00B,Consumer Discretionary,Specialty Retail,Other Specialty Retail,NYSE
DKNG,DraftKings Inc,Common Stock,23.85,$12.07B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,NASDAQ
RSI,Rush Street Interactive Inc,Common Stock,33.65,$8.03B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,NYSE
LI,Li Auto Inc,Depository Receipt,12.21,$12.97B,Consumer Discretionary,Automobiles,Automobile Manufacturers,NASDAQ
XPEV,XPeng Inc,Depository Receipt,13.33,$12.64B,Consumer Discretionary,Automobiles,Automobile Manufacturers,NYSE
SGHC,Super Group (SGHC) Ltd,Common Stock,15.59,$7.92B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,NYSE
ABNB,Airbnb Inc,Common Stock,144.1,$86.02B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NASDAQ
DASH,DoorDash Inc,Common Stock,188.04,$82.36B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NASDAQ
CPNG,Coupang Inc,Common Stock,15.76,$29.51B,Consumer Discretionary,Broadline Retail,Broadline Retail,NYSE
GLBE,Global-E Online Ltd,Common Stock,35.76,$6.14B,Consumer Discretionary,Broadline Retail,Broadline Retail,NASDAQ
VSXY,Victoria's Secret & Co,Common Stock,87.09,$6.95B,Consumer Discretionary,Specialty Retail,Apparel Retail,NYSE
DUOL,Duolingo Inc,Common Stock,124.71,$6.24B,Consumer Discretionary,Diversified Consumer Services,Education Services,NASDAQ
BROS,Dutch Bros Inc,Common Stock,66.13,$11.57B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,NYSE
ONON,On Holding AG,Common Stock,37.24,$12.55B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear,NYSE
