Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
VMI,Valmont Industries Inc,Common Stock,505.35,$10.21B,Industrials,Construction & Engineering,Construction & Engineering,NYSE
VSEC,VSE Corp,Common Stock,202.53,$5.46B,Industrials,Aerospace & Defense,Aerospace & Defense,NASDAQ
WAB,Westinghouse Air Brake Technologies Corp,Common Stock,263.53,$43.75B,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,NYSE
WCC,WESCO International Inc,Common Stock,329.16,$15.54B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
WCN,Waste Connections Inc.,Common Stock,168.43,$43.41B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NYSE
KTOS,Kratos Defense & Security Solutions Inc,Common Stock,48.21,$8.61B,Industrials,Aerospace & Defense,Aerospace & Defense,NASDAQ
WWD,Woodward Inc,Common Stock,406.87,$23.28B,Industrials,Aerospace & Defense,Aerospace & Defense,NASDAQ
WM,Waste Management Inc.,Common Stock,233.18,$96.00B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,NYSE
FERG,Ferguson Enterprises Inc,Common Stock,226.5,$44.42B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
WSO,Watsco Inc,Common Stock,372.96,$12.98B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
WTS,Watts Water Technologies Inc,Common Stock,341.4,$11.37B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
BLDR,Builders FirstSource Inc,Common Stock,69.74,$7.82B,Industrials,Building Products,Building Products,NYSE
RBC,RBC Bearings Inc,Common Stock,585.35,$18.00B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
CPA,Copa Holdings SA,Common Stock,140.83,$5.67B,Industrials,Passenger Airlines,Passenger Airlines,NYSE
UAL,United Airlines Holdings Inc,Common Stock,117.7,$38.15B,Industrials,Passenger Airlines,Passenger Airlines,NASDAQ
PAC,Grupo Aeroportuario Del Pacifico SA,Depository Receipt,217.68,$11.27B,Industrials,Transportation Infrastructure,Airport Services,NYSE
TDG,TransDigm Group Inc,Common Stock,1205.49,$67.39B,Industrials,Aerospace & Defense,Aerospace & Defense,NYSE
IESC,IES Holdings Inc,Common Stock,647.92,$12.37B,Industrials,Construction & Engineering,Construction & Engineering,NASDAQ
OC,Owens Corning,Common Stock,140.09,$11.32B,Industrials,Building Products,Building Products,NYSE
LDOS,Leidos Holdings Inc,Common Stock,104.92,$13.46B,Industrials,Professional Services,Research & Consulting Services,NYSE
AWI,Armstrong World Industries Inc,Common Stock,151.43,$6.50B,Industrials,Building Products,Building Products,NYSE
AER,AerCap Holdings NV,Common Stock,151.78,$23.39B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
AVAV,AeroVironment Inc,Common Stock,148.84,$7.22B,Industrials,Aerospace & Defense,Aerospace & Defense,NASDAQ
BR,Broadridge Financial Solutions Inc,Common Stock,145.01,$17.35B,Industrials,Professional Services,Data Processing & Outsourced Services,NYSE
DAL,Delta Air Lines Inc,Common Stock,84.63,$55.60B,Industrials,Passenger Airlines,Passenger Airlines,NYSE
ACM,AECOM,Common Stock,68.94,$8.73B,Industrials,Construction & Engineering,Construction & Engineering,NYSE
G,Genpact Ltd,Common Stock,30.18,$5.19B,Industrials,Professional Services,Data Processing & Outsourced Services,NYSE
JBTM,JBT Marel Corporation,Common Stock,132.46,$6.93B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
MYRG,MYR Group Inc,Common Stock,400.1,$6.08B,Industrials,Construction & Engineering,Construction & Engineering,NASDAQ
VRSK,Verisk Analytics Inc,Common Stock,195.25,$26.44B,Industrials,Professional Services,Research & Consulting Services,NASDAQ
GNRC,Generac Holdings Inc,Common Stock,215.61,$12.55B,Industrials,Electrical Equipment,Electrical Components & Equipment,NYSE
ST,Sensata Technologies Holding Plc,Common Stock,46.51,$6.48B,Industrials,Electrical Equipment,Electrical Components & Equipment,NYSE
SSNC,SS&C Technologies Holdings Inc,Common Stock,67.92,$16.74B,Industrials,Professional Services,Data Processing & Outsourced Services,NASDAQ
