Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
TRV,Travelers Companies Inc (The),Common Stock,301.59,$63.80B,Financials,Insurance,Property & Casualty Insurance,NYSE
STT,State Street Corporation,Common Stock,136.13,$36.57B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
TD,Toronto-Dominion Bank (The),Common Stock,99.3,$162.10B,Financials,Banks,Diversified Banks,NYSE
GL,Globe Life Inc,Common Stock,147.85,$11.28B,Financials,Insurance,Life & Health Insurance,NYSE
TROW,T. Rowe Price Group Inc,Common Stock,91.81,$19.41B,Financials,Capital Markets,Asset Management & Custody Banks,NASDAQ
AUB,Atlantic Union Bankshares Corp,Common Stock,37.72,$5.20B,Financials,Banks,Regional Banks,NYSE
UBSI,United Bankshares Inc,Common Stock,43.58,$5.92B,Financials,Banks,Regional Banks,NASDAQ
UMBF,UMB Financial Corp,Common Stock,120.06,$8.85B,Financials,Banks,Regional Banks,NASDAQ
UNM,Unum Group,Common Stock,77.55,$12.40B,Financials,Insurance,Life & Health Insurance,NYSE
USB,U.S. Bancorp,Common Stock,55.36,$83.36B,Financials,Banks,Diversified Banks,NYSE
VLY,Valley National Bancorp,Common Stock,12.96,$7.00B,Financials,Banks,Regional Banks,NASDAQ
WBS,Webster Financial Corp,Common Stock,71.64,$11.25B,Financials,Banks,Regional Banks,NYSE
WFC,Wells Fargo & Co,Common Stock,84.66,$251.38B,Financials,Banks,Diversified Banks,NYSE
WTW,Willis Towers Watson plc,Common Stock,290.82,$26.87B,Financials,Insurance,Insurance Brokers,NASDAQ
WTFC,Wintrust Financial Corp.,Common Stock,145.46,$9.45B,Financials,Banks,Regional Banks,NASDAQ
WTM,White Mountains Insurance Group Ltd,Common Stock,2277.21,$5.49B,Financials,Insurance,Property & Casualty Insurance,NYSE
WEX,WEX Inc,Common Stock,158.32,$5.41B,Financials,Financial Services,Transaction & Payment Processing Services,NYSE
ZION,Zions Bancorporation National Association,Common Stock,61,$8.69B,Financials,Banks,Regional Banks,NASDAQ
AX,Axos Financial Inc.,Common Stock,93.15,$5.06B,Financials,Banks,Regional Banks,NYSE
MORN,Morningstar Inc,Common Stock,172.78,$6.80B,Financials,Capital Markets,Financial Exchanges & Data,NASDAQ
NDAQ,Nasdaq Inc,Common Stock,88.09,$49.11B,Financials,Capital Markets,Financial Exchanges & Data,NASDAQ
BBVA,Banco Bilbao Vizcaya Argentaria SA,Depository Receipt,23.39,$126.46B,Financials,Banks,Diversified Banks,NYSE
WAL,Western Alliance Bancorporation,Common Stock,75,$7.91B,Financials,Banks,Regional Banks,NYSE
AMP,Ameriprise Financial Inc,Common Stock,453.1,$39.18B,Financials,Capital Markets,Asset Management & Custody Banks,NYSE
FNF,Fidelity National Financial Inc,Common Stock,47.6,$12.63B,Financials,Insurance,Property & Casualty Insurance,NYSE
