Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
GEHC,GE HealthCare Technologies Inc,Common Stock,73.75,$31.82B,Health Care,Health Care Equipment & Supplies,Health Care Equipment,NASDAQ
APGE,Apogee Therapeutics Inc,Common Stock,83.12,$6.17B,Health Care,Biotechnology,Biotechnology,NASDAQ
ABVX,ABIVAX Societe Anonyme,Depository Receipt,118.96,$8.57B,Health Care,Biotechnology,Biotechnology,NASDAQ
CGON,CG Oncology Inc,Common Stock,68.87,$5.89B,Health Care,Biotechnology,Biotechnology,NASDAQ
BTSG,BrightSpring Health Services Inc,Common Stock,46.31,$8.44B,Health Care,Health Care Providers & Services,Health Care Services,NASDAQ
SOLV,Solventum Corp,Common Stock,65.25,$10.84B,Health Care,Health Care Equipment & Supplies,Health Care Supplies,NYSE
PACS,PACS Group Inc,Common Stock,35.38,$5.10B,Health Care,Health Care Providers & Services,Health Care Facilities,NYSE
TEM,Tempus AI Inc,Common Stock,47.5,$8.37B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NASDAQ
CAI,Caris Life Sciences Inc,Common Stock,19.51,$5.30B,Health Care,Biotechnology,Biotechnology,NASDAQ
MDLN,Medline Inc,Common Stock,44.34,$56.65B,Health Care,Health Care Equipment & Supplies,Health Care Supplies,NASDAQ
