Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry,Exchange
IESC,IES Holdings Inc,Common Stock,523.01,$9.60B,Industrials,Construction & Engineering,Construction & Engineering,NASDAQ
GTLS,Chart Industries Inc,Common Stock,207.76,$9.93B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
OC,Owens Corning,Common Stock,112.91,$8.45B,Industrials,Building Products,Building Products,NYSE
LDOS,Leidos Holdings Inc,Common Stock,160.64,$20.01B,Industrials,Professional Services,Research & Consulting Services,NYSE
AWI,Armstrong World Industries Inc,Common Stock,172.77,$7.14B,Industrials,Building Products,Building Products,NYSE
PRIM,Primoris Services Corp,Common Stock,156.59,$8.08B,Industrials,Construction & Engineering,Construction & Engineering,NYSE
AER,AerCap Holdings NV,Common Stock,144.23,$23.50B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,NYSE
AVAV,AeroVironment Inc,Common Stock,186.94,$9.46B,Industrials,Aerospace & Defense,Aerospace & Defense,NASDAQ
BR,Broadridge Financial Solutions Inc,Common Stock,160.97,$18.67B,Industrials,Professional Services,Data Processing & Outsourced Services,NYSE
DAL,Delta Air Lines Inc,Common Stock,68.08,$42.86B,Industrials,Passenger Airlines,Passenger Airlines,NYSE
ACM,AECOM,Common Stock,85.89,$10.77B,Industrials,Construction & Engineering,Construction & Engineering,NYSE
G,Genpact Ltd,Common Stock,36.93,$6.36B,Industrials,Professional Services,Data Processing & Outsourced Services,NYSE
JBTM,JBT Marel Corporation,Common Stock,130.27,$6.53B,Industrials,Machinery,Industrial Machinery & Supplies & Components,NYSE
VRSK,Verisk Analytics Inc,Common Stock,175.43,$23.71B,Industrials,Professional Services,Research & Consulting Services,NASDAQ
GNRC,Generac Holdings Inc,Common Stock,202.93,$11.21B,Industrials,Electrical Equipment,Electrical Components & Equipment,NYSE
ST,Sensata Technologies Holding Plc,Common Stock,37.38,$5.10B,Industrials,Electrical Equipment,Electrical Components & Equipment,NYSE
SSNC,SS&C Technologies Holdings Inc,Common Stock,70.35,$16.63B,Industrials,Professional Services,Data Processing & Outsourced Services,NASDAQ
